Rank,Recommended action,Score impact,Points achieved,Status,Regressed,Have license?,Category,Product,Last synced ,Microsoft update,Notes
1,Require multifactor authentication for administrative roles,+4.07%,	0/10,To address,No,Yes,Identity,Azure Active Directory,2/1/2023,None,
2,Ensure all users can complete multifactor authentication,+3.66%,	0/9,To address,No,Yes,Identity,Azure Active Directory,2/1/2023,None,
3,Create Safe Links policies for email messages,+3.66%,	0/9,To address,No,No,Apps,Defender for Office,2/1/2023,None,
4,Enable impersonated user protection,+3.25%,	0/8,To address,No,No,Apps,Defender for Office,2/1/2023,None,
5,Set the phishing email level threshold at 2 or higher,+3.25%,	0/8,To address,No,No,Apps,Defender for Office,2/1/2023,None,
6,Enable impersonated domain protection,+3.25%,	0/8,To address,No,No,Apps,Defender for Office,2/1/2023,None,
7,Move messages that are detected as impersonated users by mailbox intelligence,+3.25%,	0/8,To address,No,No,Apps,Defender for Office,2/1/2023,None,
8,Ensure that intelligence for impersonation protection is enabled,+3.25%,	0/8,To address,No,No,Apps,Defender for Office,2/1/2023,None,
9,Turn on Safe Attachments in block mode,+3.25%,	0/8,To address,No,No,Apps,Defender for Office,2/1/2023,None,
10,Enable policy to block legacy authentication,+3.25%,	0/8,To address,No,Yes,Identity,Azure Active Directory,2/1/2023,None,
11,Protect all users with a sign-in risk policy,+2.85%,	0/7,To address,No,No,Identity,Azure Active Directory,2/1/2023,None,
12,Protect all users with a user risk policy,+2.85%,	0/7,To address,No,No,Identity,Azure Active Directory,2/1/2023,None,
13,Quarantine messages that are detected from impersonated users,+2.44%,	0/6,To address,No,No,Apps,Defender for Office,2/1/2023,None,
14,Quarantine messages that are detected from impersonated domains,+2.44%,	0/6,To address,No,No,Apps,Defender for Office,2/1/2023,None,
15,Do not allow Exchange Online calendar details to be shared with external users,+2.03%,	0/5,To address,No,Yes,Apps,Exchange Online,2/1/2023,None,
16,Create an OAuth app policy to notify you about new OAuth applications,+1.63%,	0/4,To address,No,No,Apps,Microsoft Defender for Cloud Apps,15/11/2022,None,
17,Do not allow users to grant consent to unreliable applications,+1.63%,	0/4,To address,No,Yes,Identity,Azure Active Directory,2/1/2023,None,
18,Enable the user impersonation unusual characters safety tip ,+1.22%,	0/3,To address,No,No,Apps,Defender for Office,2/1/2023,None,
19,Enable the user impersonation safety tip,+1.22%,	0/3,To address,No,No,Apps,Defender for Office,2/1/2023,None,
20,Enable the domain impersonation safety tip,+1.22%,	0/3,To address,No,No,Apps,Defender for Office,2/1/2023,None,
21,Create an app discovery policy to identify new and trending cloud apps in your org ,+1.22%,	0/3,To address,No,No,Apps,Microsoft Defender for Cloud Apps,15/11/2022,None,
22,Set action to take on bulk spam detection,+1.22%,	0.08/3,To address,No,No,Apps,Defender for Office,2/1/2023,None,
23,Ensure that no sender domains are allowed for anti-spam policies,+0.81%,	0/2,To address,Yes,No,Apps,Defender for Office,2/1/2023,None,
24,Create a custom activity policy to get alerts about suspicious usage patterns,+0.81%,	0/2,To address,No,No,Apps,Microsoft Defender for Cloud Apps,15/11/2022,None,
25,Configure which users are allowed to present in Teams meetings,+0.81%,	0/2,To address,No,Yes,Apps,Microsoft Teams,25/12/2022,None,
26,Only invited users should be automatically admitted to Teams meetings,+0.81%,	1/2,To address,No,Yes,Apps,Microsoft Teams,25/12/2022,None,
27,Sign out inactive users in SharePoint Online,+0.41%,	0/1,To address,No,Yes,Apps,SharePoint Online,2/1/2023,None,
28,Block users who reached the message limit,+0.41%,	0/1,To address,No,No,Apps,Defender for Office,2/1/2023,None,
29,Set a daily message limit,+0.41%,	0/1,To address,Yes,No,Apps,Defender for Office,2/1/2023,None,
30,Set maximum number of internal recipients that a user can send to within an hour,+0.41%,	0/1,To address,Yes,No,Apps,Defender for Office,2/1/2023,None,
31,Set maximum number of external recipients that a user can email per hour,+0.41%,	0/1,To address,Yes,No,Apps,Defender for Office,2/1/2023,None,
32,Set the email bulk complaint level (BCL) threshold to be 6 or lower,+0.41%,	0/1,To address,No,No,Apps,Defender for Office,2/1/2023,None,
33,Retain spam in quarantine for 30 days,+0.41%,	0/1,To address,No,No,Apps,Defender for Office,2/1/2023,None,
34,Ensure that Auto-labeling data classification policies are set up and used,+0.41%,	0/1,To address,No,No,Data,Microsoft Information Protection,2/1/2023,None,
35,Extend M365 sensitivity labeling to assets in Microsoft Purview data map,+0.41%,	0/1,To address,No,No,Data,Microsoft Information Protection,2/1/2023,None,
36,Don't add allowed IP addresses in the connection filter policy ,+0.41%,	0/1,To address,Yes,No,Apps,Defender for Office,2/1/2023,None,
